,Close
2014-10-02,35.28
2014-10-03,36.95
2014-10-06,36.11
2014-10-07,35.27
2014-10-08,34.81
2014-10-09,33.71
2014-10-10,32.91
2014-10-13,30.9
2014-10-14,32.79
2014-10-15,32.38
2014-10-16,33.32
2014-10-17,34.39
2014-10-20,36.04
2014-10-21,37.48
2014-10-22,37.3
2014-10-23,37.92
2014-10-24,39.44
2014-10-27,39.75
2014-10-28,39.84
2014-10-29,39.58
2014-10-30,39.14
2014-10-31,40.23
2014-11-03,40.61
2014-11-04,42.32
2014-11-05,41.87
2014-11-06,42.9
2014-11-07,42.69
2014-11-10,43.37
2014-11-11,43.84
2014-11-12,43.4
2014-11-13,44.08
2014-11-14,43.75
2014-11-17,43.43
2014-11-18,44.79
2014-11-19,44.45
2014-11-20,43.96
2014-11-21,43.09
2014-11-24,43.51
2014-11-25,44.08
2014-11-26,44.24
2014-11-28,46.67
2014-12-01,45.62
2014-12-02,44.67
2014-12-03,44.75
2014-12-04,46.42
2014-12-05,47.28
2014-12-08,47.34
2014-12-09,46.33
2014-12-10,46.22
2014-12-11,48.33
2014-12-12,47.68
2014-12-15,47.8
2014-12-16,45.38
2014-12-17,46.17
2014-12-18,46.77
2014-12-19,47.38
2014-12-22,47.41
2014-12-23,47.13
2014-12-24,48.05
2014-12-26,48.39
2014-12-29,48.78
2014-12-30,49.23
2014-12-31,49.19
2015-01-02,49.18
2015-01-05,48.36
2015-01-06,47.22
2015-01-07,46.97
2015-01-08,48.19
2015-01-09,46.88
2015-01-12,46.06
2015-01-13,46.61
2015-01-14,45.31
2015-01-15,45.05
2015-01-16,45.84
2015-01-20,49.17
2015-01-21,49.18
2015-01-22,50.7
2015-01-23,50.56
2015-01-26,50.15
2015-01-27,49.18
2015-01-28,48.46
2015-01-29,50.21
2015-01-30,47.31
2015-02-02,46.51
2015-02-03,46.01
2015-02-04,46.96
2015-02-05,46.14
2015-02-06,45.51
2015-02-09,44.45
2015-02-10,45.32
2015-02-11,44.98
2015-02-12,44.81
2015-02-13,44.5
2015-02-17,44.76
2015-02-18,45.27
2015-02-19,45.92
2015-02-20,47.44
2015-02-23,47.19
2015-02-24,48.03
2015-02-25,46.84
2015-02-26,45.92
2015-02-27,44.52
2015-03-02,45.39
2015-03-03,45.78
2015-03-04,45.15
2015-03-05,44.39
2015-03-06,43.78
2015-03-09,44.57
2015-03-10,43.42
2015-03-11,44.02
2015-03-12,45.33
2015-03-13,45.5
2015-03-16,46.16
2015-03-17,46.65
2015-03-18,45.81
2015-03-19,47.26
2015-03-20,47.42
2015-03-23,46.58
2015-03-24,46.03
2015-03-25,44.52
2015-03-26,44.09
2015-03-27,44.88
2015-03-30,45.56
2015-03-31,44.96
2015-04-01,43.26
2015-04-02,42.25
2015-04-06,41.76
2015-04-07,41.64
2015-04-08,43.29
2015-04-09,43.14
2015-04-10,43.23
2015-04-13,43.07
2015-04-14,43.08
2015-04-15,44.2
2015-04-16,44.99
2015-04-17,44.76
2015-04-20,45.73
2015-04-21,46.23
2015-04-22,46.53
2015-04-23,46.43
2015-04-24,46.98
2015-04-27,46.45
2015-04-28,46.2
2015-04-29,45.03
2015-04-30,44.64
2015-05-01,45.66
2015-05-04,45.29
2015-05-05,43.9
2015-05-06,44.06
2015-05-07,45.36
2015-05-08,46.17
2015-05-11,46.81
2015-05-12,46.1
2015-05-13,46.78
2015-05-14,47.4
2015-05-15,47.0
2015-05-18,47.37
2015-05-19,46.21
2015-05-20,43.62
2015-05-21,43.75
2015-05-22,43.18
2015-05-26,41.85
2015-05-27,42.53
2015-05-28,42.25
2015-05-29,42.92
2015-06-01,44.35
2015-06-02,43.21
2015-06-03,43.24
2015-06-04,42.92
2015-06-05,42.9
2015-06-08,40.75
2015-06-09,40.72
2015-06-10,41.06
2015-06-11,40.8
2015-06-12,41.14
2015-06-15,40.7
2015-06-16,40.57
2015-06-17,40.8
2015-06-18,41.35
2015-06-19,41.99
2015-06-22,42.93
2015-06-23,43.1
2015-06-24,42.66
2015-06-25,42.6
2015-06-26,42.35
2015-06-29,41.12
2015-06-30,41.08
2015-07-01,40.27
2015-07-02,40.0
2015-07-06,40.48
2015-07-07,41.18
2015-07-08,40.17
2015-07-09,40.55
2015-07-10,42.46
2015-07-13,43.37
2015-07-14,43.66
2015-07-15,43.99
2015-07-16,44.47
2015-07-17,44.94
2015-07-20,44.09
2015-07-21,44.65
2015-07-22,45.22
2015-07-23,45.16
2015-07-24,44.1
2015-07-27,43.93
2015-07-28,44.91
2015-07-29,44.18
2015-07-30,44.03
2015-07-31,44.34
2015-08-03,45.73
2015-08-04,46.35
2015-08-05,46.3
2015-08-06,46.04
2015-08-07,46.35
2015-08-10,46.32
2015-08-11,47.1
2015-08-12,46.6
2015-08-13,47.45
2015-08-14,47.63
2015-08-17,47.99
2015-08-18,47.36
2015-08-19,47.08
2015-08-20,45.71
2015-08-21,43.6
2015-08-24,42.15
2015-08-25,41.37
2015-08-26,43.7
2015-08-27,43.86
2015-08-28,43.94
2015-08-31,43.78
2015-09-01,43.77
2015-09-02,45.99
2015-09-03,45.06
2015-09-04,45.4
2015-09-08,46.59
2015-09-09,46.01
2015-09-10,46.49
2015-09-11,46.92
2015-09-14,46.89
2015-09-15,46.89
2015-09-16,47.09
2015-09-17,47.49
2015-09-18,46.67
2015-09-21,47.25
2015-09-22,46.46
2015-09-23,46.59
2015-09-24,45.91
2015-09-25,46.04
2015-09-28,44.66
2015-09-29,44.04
2015-09-30,44.87
2015-10-01,45.41
2015-10-02,44.87
2015-10-05,46.96
2015-10-06,45.09
2015-10-07,45.99
2015-10-08,45.96
2015-10-09,47.21
2015-10-12,48.5
2015-10-13,47.73
2015-10-14,48.59
2015-10-15,48.93
2015-10-16,49.12
2015-10-19,50.27
2015-10-20,50.15
2015-10-21,49.44
2015-10-22,50.81
2015-10-23,51.0
2015-10-26,51.32
2015-10-27,50.87
2015-10-28,50.14
2015-10-29,50.5
2015-10-30,50.84
2015-11-02,50.7
2015-11-03,51.0
2015-11-04,50.66
2015-11-05,50.54
2015-11-06,51.2
2015-11-09,50.63
2015-11-10,50.3
2015-11-11,49.98
2015-11-12,49.98
2015-11-13,48.99
2015-11-16,47.93
2015-11-17,47.77
2015-11-18,47.75
2015-11-19,48.51
2015-11-20,48.76
2015-11-23,48.74
2015-11-24,47.24
2015-11-25,46.87
2015-11-27,47.14
2015-11-30,46.46
2015-12-01,47.67
2015-12-02,48.33
2015-12-03,48.22
2015-12-04,49.78
2015-12-07,51.78
2015-12-08,50.27
2015-12-09,49.51
2015-12-10,51.28
2015-12-11,49.28
2015-12-14,50.18
2015-12-15,51.15
2015-12-16,52.12
2015-12-17,51.03
2015-12-18,49.96
2015-12-21,51.46
2015-12-22,51.75
2015-12-23,51.74
2015-12-24,52.26
2015-12-28,51.95
2015-12-29,52.17
2015-12-30,51.17
2015-12-31,50.69
2016-01-04,48.66
2016-01-05,48.57
2016-01-06,48.93
2016-01-07,47.0
2016-01-08,46.61
2016-01-11,46.74
2016-01-12,46.96
2016-01-13,44.94
2016-01-14,45.34
2016-01-15,44.5
2016-01-19,45.96
2016-01-20,45.69
2016-01-21,46.52
2016-01-22,46.76
2016-01-25,45.94
2016-01-26,46.11
2016-01-27,44.72
2016-01-28,43.2
2016-01-29,44.29
2016-02-01,45.21
2016-02-02,43.61
2016-02-03,43.8
2016-02-04,44.04
2016-02-05,42.01
2016-02-08,40.77
2016-02-09,41.98
2016-02-10,43.27
2016-02-11,42.7
2016-02-12,42.99
2016-02-16,44.58
2016-02-17,46.1
2016-02-18,46.46
2016-02-19,46.72
2016-02-22,48.82
2016-02-23,48.95
2016-02-24,48.94
2016-02-25,49.2
2016-02-26,47.86
2016-02-29,48.24
2016-03-01,48.9
2016-03-02,48.55
2016-03-03,48.79
2016-03-04,48.67
2016-03-07,48.39
2016-03-08,46.22
2016-03-09,46.74
2016-03-10,47.0
2016-03-11,47.69
2016-03-14,47.89
2016-03-15,47.76
2016-03-16,48.77
2016-03-17,48.62
2016-03-18,50.05
2016-03-21,50.12
2016-03-22,49.39
2016-03-23,48.91
2016-03-24,47.84
2016-03-28,48.2
2016-03-29,49.13
2016-03-30,49.33
2016-03-31,48.68
2016-04-01,47.01
2016-04-04,47.15
2016-04-05,47.16
2016-04-06,47.2
2016-04-07,45.8
2016-04-08,46.29
2016-04-11,46.55
2016-04-12,46.63
2016-04-13,48.04
2016-04-14,48.49
2016-04-15,47.5
2016-04-18,46.55
2016-04-19,46.87
2016-04-20,46.6
2016-04-21,44.97
2016-04-22,44.62
2016-04-25,43.93
2016-04-26,43.59
2016-04-27,43.69
2016-04-28,42.86
2016-04-29,41.67
2016-05-02,42.17
2016-05-03,42.92
2016-05-04,41.43
2016-05-05,41.75
2016-05-06,42.04
2016-05-09,42.4
2016-05-10,42.95
2016-05-11,42.3
2016-05-12,41.07
2016-05-13,41.6
2016-05-16,43.0
2016-05-17,43.67
2016-05-18,43.86
2016-05-19,43.1
2016-05-20,43.1
2016-05-23,42.95
2016-05-24,43.63
2016-05-25,43.5
2016-05-26,42.76
2016-05-27,43.12
2016-05-31,43.46
2016-06-01,43.51
2016-06-02,42.45
2016-06-03,41.57
2016-06-06,41.28
2016-06-07,42.1
2016-06-08,41.85
2016-06-09,42.4
2016-06-10,42.04
2016-06-13,40.57
2016-06-14,39.11
2016-06-15,38.89
2016-06-16,38.02
2016-06-17,38.01
2016-06-20,38.09
2016-06-21,38.67
2016-06-22,38.55
2016-06-23,38.31
2016-06-24,35.18
2016-06-27,33.36
2016-06-28,34.67
2016-06-29,36.24
2016-06-30,36.43
2016-07-01,36.77
2016-07-05,35.62
2016-07-06,35.58
2016-07-07,36.37
2016-07-08,37.37
2016-07-11,38.12
2016-07-12,40.21
2016-07-13,39.56
2016-07-14,40.98
2016-07-15,39.98
2016-07-18,40.1
2016-07-19,40.53
2016-07-20,40.21
2016-07-21,38.52
2016-07-22,38.96
2016-07-25,38.96
2016-07-26,39.03
2016-07-27,38.54
2016-07-28,39.36
2016-07-29,38.75
2016-08-01,39.48
2016-08-02,36.39
2016-08-03,36.48
2016-08-04,36.54
2016-08-05,37.67
2016-08-08,37.44
2016-08-09,37.15
2016-08-10,36.48
2016-08-11,36.7
2016-08-12,36.35
2016-08-15,36.92
2016-08-16,36.94
2016-08-17,37.51
2016-08-18,37.07
2016-08-19,36.77
2016-08-22,36.61
2016-08-23,36.69
2016-08-24,36.77
2016-08-25,36.47
2016-08-26,36.09
2016-08-29,36.55
2016-08-30,37.16
2016-08-31,36.75
2016-09-01,36.82
2016-09-02,37.17
2016-09-06,36.82
2016-09-07,38.9
2016-09-08,39.29
2016-09-09,37.75
2016-09-12,38.44
2016-09-13,37.53
2016-09-14,37.12
2016-09-15,37.29
2016-09-16,36.77
2016-09-19,37.57
2016-09-20,37.63
2016-09-21,38.05
2016-09-22,38.5
2016-09-23,38.78
2016-09-26,38.04
2016-09-27,39.21
2016-09-28,39.23
2016-09-29,39.03
2016-09-30,39.36
2016-10-03,39.98
2016-10-04,40.15
2016-10-05,40.32
2016-10-06,39.94
2016-10-07,38.95
2016-10-10,39.77
2016-10-11,38.94
2016-10-12,39.27
2016-10-13,40.01
2016-10-14,40.04
2016-10-17,39.35
2016-10-18,39.46
2016-10-19,40.9
2016-10-20,41.46
2016-10-21,41.17
2016-10-24,41.37
2016-10-25,41.21
2016-10-26,41.4
2016-10-27,41.47
2016-10-28,41.34
2016-10-31,41.77
2016-11-01,41.88
2016-11-02,41.93
2016-11-03,41.92
2016-11-04,42.88
2016-11-07,44.21
2016-11-08,44.53
2016-11-09,45.25
2016-11-10,45.95
2016-11-11,46.38
2016-11-14,47.47
2016-11-15,47.65
2016-11-16,47.38
2016-11-17,48.51
2016-11-18,48.9
2016-11-21,48.61
2016-11-22,48.9
2016-11-23,49.21
2016-11-25,49.24
2016-11-28,48.49
2016-11-29,48.59
2016-11-30,48.18
2016-12-01,47.77
2016-12-02,48.31
2016-12-05,47.82
2016-12-06,49.43
2016-12-07,51.1
2016-12-08,51.35
2016-12-09,51.78
2016-12-12,49.97
2016-12-13,49.66
2016-12-14,49.82
2016-12-15,50.5
2016-12-16,50.16
2016-12-19,50.42
2016-12-20,50.76
2016-12-21,50.92
2016-12-22,49.8
2016-12-23,49.89
2016-12-27,50.36
2016-12-28,49.51
2016-12-29,49.31
2016-12-30,49.19
2017-01-03,49.48
2017-01-04,50.7
2017-01-05,49.73
2017-01-06,49.68
2017-01-09,49.69
2017-01-10,50.93
2017-01-11,51.44
2017-01-12,50.89
2017-01-13,51.23
2017-01-17,50.33
2017-01-18,50.3
2017-01-19,49.7
2017-01-20,50.5
2017-01-23,48.77
2017-01-24,49.44
2017-01-25,50.19
2017-01-26,50.9
2017-01-27,49.7
2017-01-30,47.67
2017-01-31,47.24
2017-02-01,47.26
2017-02-02,47.38
2017-02-03,47.81
2017-02-06,48.26
2017-02-07,48.15
2017-02-08,48.1
2017-02-09,49.33
2017-02-10,49.26
2017-02-13,50.06
2017-02-14,49.86
2017-02-15,51.17
2017-02-16,50.83
2017-02-17,51.23
2017-02-21,51.21
2017-02-22,50.93
2017-02-23,50.48
2017-02-24,50.46
2017-02-27,50.44
2017-02-28,49.93
2017-03-01,51.03
2017-03-02,49.96
2017-03-03,50.13
2017-03-06,48.85
2017-03-07,47.64
2017-03-08,47.67
2017-03-09,47.25
2017-03-10,47.91
2017-03-13,47.35
2017-03-14,46.28
2017-03-15,47.19
2017-03-16,47.41
2017-03-17,46.51
2017-03-20,46.87
2017-03-21,45.52
2017-03-22,45.74
2017-03-23,45.92
2017-03-24,46.0
2017-03-27,46.1
2017-03-28,46.53
2017-03-29,45.95
2017-03-30,46.27
2017-03-31,45.96
2017-04-03,46.32
2017-04-04,45.11
2017-04-05,45.08
2017-04-06,45.26
2017-04-07,45.17
2017-04-10,44.97
2017-04-11,45.29
2017-04-12,45.05
2017-04-13,44.03
2017-04-17,44.35
2017-04-18,44.41
2017-04-19,45.08
2017-04-20,45.93
2017-04-21,45.53
2017-04-24,46.81
2017-04-25,46.73
2017-04-26,46.37
2017-04-27,45.74
2017-04-28,45.44
2017-05-01,45.4
2017-05-02,47.83
2017-05-03,48.31
2017-05-04,48.64
2017-05-05,48.7
2017-05-08,48.52
2017-05-09,49.56
2017-05-10,49.97
2017-05-11,49.69
2017-05-12,48.99
2017-05-15,49.51
2017-05-16,49.51
2017-05-17,47.74
2017-05-18,47.66
2017-05-19,48.2
2017-05-22,48.49
2017-05-23,48.59
2017-05-24,48.87
2017-05-25,50.4
2017-05-26,50.8
2017-05-30,49.06
2017-05-31,49.13
2017-06-01,49.85
2017-06-02,51.19
2017-06-05,51.39
2017-06-06,51.23
2017-06-07,52.27
2017-06-08,52.84
2017-06-09,53.01
2017-06-12,52.25
2017-06-13,51.87
2017-06-14,51.91
2017-06-15,51.56
2017-06-16,52.0
2017-06-19,52.51
2017-06-20,51.76
2017-06-21,52.27
2017-06-22,52.81
2017-06-23,52.92
2017-06-26,52.87
2017-06-27,52.84
2017-06-28,53.84
2017-06-29,53.87
2017-06-30,53.74
2017-07-03,54.06
2017-07-05,54.33
2017-07-06,54.37
2017-07-07,55.46
2017-07-10,54.81
2017-07-11,54.28
2017-07-12,55.48
2017-07-13,54.5
2017-07-14,55.13
2017-07-17,54.64
2017-07-18,53.96
2017-07-19,53.79
2017-07-20,52.83
2017-07-21,52.26
2017-07-24,51.53
2017-07-25,51.14
2017-07-26,51.13
2017-07-27,50.08
2017-07-28,50.33
2017-07-31,49.36
2017-08-01,50.07
2017-08-02,50.01
2017-08-03,50.57
2017-08-04,50.61
2017-08-07,50.75
2017-08-08,50.31
2017-08-09,49.67
2017-08-10,49.04
2017-08-11,49.48
2017-08-14,50.07
2017-08-15,49.92
2017-08-16,50.13
2017-08-17,47.53
2017-08-18,47.53
2017-08-21,47.81
2017-08-22,47.15
2017-08-23,46.18
2017-08-24,45.21
2017-08-25,46.68
2017-08-28,46.95
2017-08-29,46.62
2017-08-30,46.83
2017-08-31,47.19
2017-09-01,47.52
2017-09-05,45.84
2017-09-06,47.39
2017-09-07,47.12
2017-09-08,47.45
2017-09-11,48.82
2017-09-12,49.04
2017-09-13,48.98
2017-09-14,48.27
2017-09-15,48.25
2017-09-18,47.96
2017-09-19,47.9
2017-09-20,48.04
2017-09-21,48.16
2017-09-22,48.47
2017-09-25,48.32
2017-09-26,48.5
2017-09-27,47.72
2017-09-28,48.31
2017-09-29,48.22
2017-10-02,48.07
2017-10-03,51.25
2017-10-04,51.56
2017-10-05,51.68
2017-10-06,52.01
2017-10-09,51.74
2017-10-10,52.7
2017-10-11,53.07
2017-10-12,53.11
2017-10-13,53.96
2017-10-16,53.62
2017-10-17,52.76
2017-10-18,52.86
2017-10-19,52.27
2017-10-20,53.27
2017-10-23,52.28
2017-10-24,53.18
2017-10-25,52.24
2017-10-26,50.93
2017-10-27,50.56
2017-10-30,50.33
2017-10-31,50.03
2017-11-01,50.35
2017-11-02,50.34
2017-11-03,50.4
2017-11-06,50.57
2017-11-07,49.91
2017-11-08,50.06
2017-11-09,49.19
2017-11-10,48.89
2017-11-13,48.86
2017-11-14,48.9
2017-11-15,49.33
2017-11-16,50.45
2017-11-17,49.82
2017-11-20,49.79
2017-11-21,50.67
2017-11-22,50.41
2017-11-24,50.11
2017-11-27,49.59
2017-11-28,50.58
2017-11-29,52.1
2017-11-30,52.92
2017-12-01,52.06
2017-12-04,52.91
2017-12-05,52.39
2017-12-06,52.3
2017-12-07,53.41
2017-12-08,53.46
2017-12-11,54.37
2017-12-12,53.62
2017-12-13,53.63
2017-12-14,55.25
2017-12-15,56.1
2017-12-18,56.07
2017-12-19,55.75
2017-12-20,56.22
2017-12-21,56.03
2017-12-22,56.03
2017-12-26,56.43
2017-12-27,56.12
2017-12-28,56.35
2017-12-29,56.0
2018-01-02,56.74
2018-01-03,55.69
2018-01-04,55.69
2018-01-05,55.97
2018-01-08,54.68
2018-01-09,54.17
2018-01-10,55.86
2018-01-11,58.52
2018-01-12,59.83
2018-01-16,59.35
2018-01-17,59.72
2018-01-18,59.45
2018-01-19,60.01
2018-01-22,60.13
2018-01-23,59.93
2018-01-24,56.8
2018-01-25,54.81
2018-01-26,55.26
2018-01-29,55.76
2018-01-30,56.12
2018-01-31,56.77
2018-02-01,56.42
2018-02-02,54.62
2018-02-05,52.52
2018-02-06,53.1
2018-02-07,53.85
2018-02-08,51.23
2018-02-09,50.46
2018-02-12,52.05
2018-02-13,52.17
2018-02-14,52.2
2018-02-15,52.95
2018-02-16,52.85
2018-02-20,52.47
2018-02-21,53.16
2018-02-22,52.55
2018-02-23,53.46
2018-02-26,54.69
2018-02-27,53.62
2018-02-28,53.9
2018-03-01,53.35
2018-03-02,53.26
2018-03-05,53.79
2018-03-06,53.84
2018-03-07,53.53
2018-03-08,54.64
2018-03-09,56.09
2018-03-12,56.16
2018-03-13,56.59
2018-03-14,56.15
2018-03-15,56.34
2018-03-16,56.69
2018-03-19,55.96
2018-03-20,56.5
2018-03-21,55.95
2018-03-22,54.67
2018-03-23,53.9
2018-03-26,55.06
2018-03-27,54.26
2018-03-28,53.93
2018-03-29,54.81
2018-04-02,51.95
2018-04-03,53.72
2018-04-04,53.86
2018-04-05,54.21
2018-04-06,53.05
2018-04-09,52.56
2018-04-10,52.36
2018-04-11,51.47
2018-04-12,52.98
2018-04-13,52.92
2018-04-16,54.3
2018-04-17,54.55
2018-04-18,55.21
2018-04-19,55.07
2018-04-20,55.4
2018-04-23,54.61
2018-04-24,53.81
2018-04-25,54.65
2018-04-26,53.13
2018-04-27,53.5
2018-04-30,52.22
2018-05-01,52.74
2018-05-02,52.36
2018-05-03,51.79
2018-05-04,52.34
2018-05-07,51.9
2018-05-08,52.37
2018-05-09,51.62
2018-05-10,52.06
2018-05-11,52.9
2018-05-14,52.09
2018-05-15,52.37
2018-05-16,53.48
2018-05-17,53.1
2018-05-18,52.95
2018-05-21,53.98
2018-05-22,53.52
2018-05-23,53.4
2018-05-24,54.4
2018-05-25,55.87
2018-05-29,54.23
2018-05-30,54.31
2018-05-31,54.05
2018-06-01,54.42
2018-06-04,55.19
2018-06-05,54.67
2018-06-06,54.17
2018-06-07,53.46
2018-06-08,54.09
2018-06-11,54.89
2018-06-12,54.55
2018-06-13,54.65
2018-06-14,54.9
2018-06-15,55.18
2018-06-18,54.8
2018-06-19,53.78
2018-06-20,53.84
2018-06-21,53.73
2018-06-22,52.72
2018-06-25,51.31
2018-06-26,51.07
2018-06-27,49.89
2018-06-28,49.8
2018-06-29,49.54
2018-07-02,49.92
2018-07-03,48.78
2018-07-05,49.26
2018-07-06,49.58
2018-07-09,50.51
2018-07-10,50.6
2018-07-11,49.84
2018-07-12,50.73
2018-07-13,50.77
2018-07-16,50.67
2018-07-17,51.14
2018-07-18,52.8
2018-07-19,53.0
2018-07-20,51.99
2018-07-23,52.24
2018-07-24,51.68
2018-07-25,51.66
2018-07-26,53.98
2018-07-27,54.46
2018-07-30,53.79
2018-07-31,54.42
2018-08-01,53.59
2018-08-02,53.91
2018-08-03,54.26
2018-08-06,54.42
2018-08-07,54.7
2018-08-08,55.23
2018-08-09,55.34
2018-08-10,54.71
2018-08-13,54.22
2018-08-14,54.76
2018-08-15,55.23
2018-08-16,55.45
2018-08-17,55.65
2018-08-20,57.42
2018-08-21,57.6
2018-08-22,56.91
2018-08-23,56.94
2018-08-24,57.18
2018-08-27,57.75
2018-08-28,58.79
2018-08-29,58.52
2018-08-30,58.44
2018-08-31,58.48
2018-09-04,58.88
2018-09-05,57.21
2018-09-06,56.44
2018-09-07,56.86
2018-09-10,57.56
2018-09-11,58.27
2018-09-12,57.39
2018-09-13,57.82
2018-09-14,57.93
2018-09-17,57.96
2018-09-18,57.83
2018-09-19,57.9
2018-09-20,58.13
2018-09-21,59.61
2018-09-24,57.41
2018-09-25,57.1
2018-09-26,57.51
2018-09-27,58.0
2018-09-28,57.83
2018-10-01,56.6
2018-10-02,54.69
2018-10-03,54.32
2018-10-04,53.56
2018-10-05,52.7
2018-10-08,52.14
2018-10-09,50.86
2018-10-10,49.71
2018-10-11,51.48
2018-10-12,52.05
2018-10-15,51.84
2018-10-16,53.11
2018-10-17,54.3
2018-10-18,53.13
2018-10-19,53.39
2018-10-22,54.24
2018-10-23,53.45
2018-10-24,51.51
2018-10-25,53.71
2018-10-26,53.28
2018-10-29,53.42
2018-10-30,55.12
2018-10-31,54.73
2018-11-01,56.04
2018-11-02,56.12
2018-11-05,56.05
2018-11-06,55.47
2018-11-07,56.79
2018-11-08,56.73
2018-11-09,56.65
2018-11-12,56.7
2018-11-13,56.82
2018-11-14,56.43
2018-11-15,56.1
2018-11-16,55.9
2018-11-19,56.19
2018-11-20,55.41
2018-11-21,55.97
2018-11-23,57.16
2018-11-26,56.71
2018-11-27,58.31
2018-11-28,58.87
2018-11-29,58.86
2018-11-30,60.71
2018-12-03,60.12
2018-12-04,56.94
2018-12-06,58.08
2018-12-07,56.07
2018-12-10,56.32
2018-12-11,55.89
2018-12-12,56.27
2018-12-13,53.55
2018-12-14,53.51
2018-12-17,52.39
2018-12-18,52.95
2018-12-19,51.93
2018-12-20,50.91
2018-12-21,49.45
2018-12-24,47.96
2018-12-26,50.41
2018-12-27,50.5
2018-12-28,50.18
2018-12-31,49.9
2019-01-02,50.09
2019-01-03,45.61
2019-01-04,47.79
2019-01-07,47.85
2019-01-08,47.47
2019-01-09,48.47
2019-01-10,48.73
2019-01-11,48.56
2019-01-14,47.75
2019-01-15,47.83
2019-01-16,47.5
2019-01-17,48.22
2019-01-18,48.11
2019-01-22,47.1
